# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 42.226, 119.219 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,
# Units: time in UTC, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""unknown"""," ""irradiance_diffuse"": ""unknown"""," ""temperature"": ""\u00baC""}"," ""params"": {""lat"": ""42.2256437"""," ""lon"": ""119.2190097"""," ""date_from"": ""2022-01-01"""," ""date_to"": ""2022-12-31"""," ""dataset"": ""merra2"""," ""header"": ""true"""," ""local_time"": ""false"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": ""true""}}"
time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
2022/1/1 0:00,0.035,0.011,0.043,-9.686,,,,,,,,,,,,,
2022/1/1 1:00,0.096,0.021,0.092,-7.971,,,,,,,,,,,,,
2022/1/1 2:00,0.247,0.098,0.164,-5.522,,,,,,,,,,,,,
2022/1/1 3:00,0.607,0.509,0.147,-3.407,,,,,,,,,,,,,
2022/1/1 4:00,0.646,0.567,0.137,-3.207,,,,,,,,,,,,,
2022/1/1 5:00,0.597,0.517,0.125,-4.084,,,,,,,,,,,,,
2022/1/1 6:00,0.489,0.415,0.099,-5.353,,,,,,,,,,,,,
2022/1/1 7:00,0.279,0.227,0.065,-6.906,,,,,,,,,,,,,
2022/1/1 8:00,0.021,0.03,0.009,-8.816,,,,,,,,,,,,,
2022/1/1 9:00,0,0,0,-10.273,,,,,,,,,,,,,
2022/1/1 10:00,0,0,0,-11.283,,,,,,,,,,,,,
2022/1/1 11:00,0,0,0,-12.138,,,,,,,,,,,,,
