# Renewables.ninja Wind power (Point API) - 42.226, 119.219 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "electricity": "kW", "wind_speed": "m/s"}, "params": {"lat": "42.2256437", "lon": "119.2190097", "date_from": "2024-01-01", "date_to": "2024-12-31", "dataset": "merra2", "header": "true", "local_time": "false", "capacity": "1", "height": "80", "turbine": "GE 5.5 158", "raw": "true"}}
time,electricity,wind_speed
2024-01-01 00:00,0.700,9.430
2024-01-01 01:00,0.534,8.101
2024-01-01 02:00,0.392,7.072
2024-01-01 03:00,0.410,7.207
2024-01-01 04:00,0.434,7.376
2024-01-01 05:00,0.390,7.059
2024-01-01 06:00,0.258,6.037
2024-01-01 07:00,0.155,5.053
2024-01-01 08:00,0.114,4.569
2024-01-01 09:00,0.117,4.601
2024-01-01 10:00,0.141,4.895
2024-01-01 11:00,0.164,5.160
2024-01-01 12:00,0.169,5.210
2024-01-01 13:00,0.158,5.095
2024-01-01 14:00,0.151,5.010
2024-01-01 15:00,0.149,4.990
2024-01-01 16:00,0.162,5.129
2024-01-01 17:00,0.178,5.293
2024-01-01 18:00,0.184,5.362
2024-01-01 19:00,0.181,5.328
2024-01-01 20:00,0.169,5.211
2024-01-01 21:00,0.165,5.166
2024-01-01 22:00,0.158,5.085
2024-01-01 23:00,0.141,4.896
2024-01-02 00:00,0.122,4.674
2024-01-02 01:00,0.059,3.697
2024-01-02 02:00,0.061,3.737
2024-01-02 03:00,0.069,3.880
2024-01-02 04:00,0.085,4.138
2024-01-02 05:00,0.125,4.704
2024-01-02 06:00,0.181,5.324
2024-01-02 07:00,0.192,5.441
2024-01-02 08:00,0.216,5.667
2024-01-02 09:00,0.224,5.743
2024-01-02 10:00,0.252,5.974
2024-01-02 11:00,0.317,6.513
2024-01-02 12:00,0.381,6.999
2024-01-02 13:00,0.418,7.270
2024-01-02 14:00,0.453,7.519
2024-01-02 15:00,0.565,8.331
2024-01-02 16:00,0.674,9.193
2024-01-02 17:00,0.725,9.654
2024-01-02 18:00,0.755,9.954
2024-01-02 19:00,0.748,9.883
2024-01-02 20:00,0.724,9.644
2024-01-02 21:00,0.659,9.072
2024-01-02 22:00,0.584,8.478
2024-01-02 23:00,0.565,8.332
2024-01-03 00:00,0.459,7.561
2024-01-03 01:00,0.252,5.978
2024-01-03 02:00,0.137,4.847
2024-01-03 03:00,0.133,4.795
2024-01-03 04:00,0.111,4.524
2024-01-03 05:00,0.130,4.764
2024-01-03 06:00,0.202,5.530
2024-01-03 07:00,0.330,6.614
2024-01-03 08:00,0.607,8.658
