# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 42.226, 119.219 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"lat": "42.2256437", "lon": "119.2190097", "date_from": "2025-01-01", "date_to": "2025-12-31", "dataset": "merra2", "header": "true", "local_time": "false", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,electricity,irradiance_direct,irradiance_diffuse,temperature
2025-01-01 00:00,0.070,0.029,0.059,-10.145
2025-01-01 01:00,0.179,0.069,0.125,-8.267
2025-01-01 02:00,0.265,0.107,0.172,-6.420
2025-01-01 03:00,0.291,0.113,0.195,-4.604
2025-01-01 04:00,0.350,0.169,0.201,-3.441
2025-01-01 05:00,0.345,0.186,0.179,-2.930
2025-01-01 06:00,0.260,0.141,0.138,-2.912
2025-01-01 07:00,0.125,0.068,0.076,-3.840
2025-01-01 08:00,0.004,0.010,0.009,-5.757
2025-01-01 09:00,0,0,0,-6.605
2025-01-01 10:00,0,0,0,-7.364
2025-01-01 11:00,0,0,0,-8.055
2025-01-01 12:00,0,0,0,-8.651
2025-01-01 13:00,0,0,0,-9.373
2025-01-01 14:00,0,0,0,-10.492
2025-01-01 15:00,0,0,0,-11.576
2025-01-01 16:00,0,0,0,-12.642
2025-01-01 17:00,0,0,0,-13.418
2025-01-01 18:00,0,0,0,-14.049
2025-01-01 19:00,0,0,0,-14.591
2025-01-01 20:00,0,0,0,-15.027
2025-01-01 21:00,0,0,0,-15.338
2025-01-01 22:00,0,0,0,-15.522
2025-01-01 23:00,0.008,0.017,0.007,-15.543
2025-01-02 00:00,0.328,0.282,0.050,-13.485
2025-01-02 01:00,0.570,0.517,0.072,-11.183
2025-01-02 02:00,0.710,0.678,0.085,-8.238
2025-01-02 03:00,0.769,0.752,0.093,-6.255
2025-01-02 04:00,0.756,0.734,0.097,-5.429
2025-01-02 05:00,0.661,0.616,0.099,-5.164
2025-01-02 06:00,0.454,0.378,0.099,-5.338
2025-01-02 07:00,0.218,0.166,0.068,-6.147
2025-01-02 08:00,0.018,0.026,0.009,-8.854
2025-01-02 09:00,0,0,0,-10.441
2025-01-02 10:00,0,0,0,-11.323
2025-01-02 11:00,0,0,0,-11.892
2025-01-02 12:00,0,0,0,-12.244
2025-01-02 13:00,0,0,0,-12.744
2025-01-02 14:00,0,0,0,-13.234
2025-01-02 15:00,0,0,0,-13.700
2025-01-02 16:00,0,0,0,-14.285
2025-01-02 17:00,0,0,0,-14.787
2025-01-02 18:00,0,0,0,-15.078
2025-01-02 19:00,0,0,0,-15.308
2025-01-02 20:00,0,0,0,-15.332
2025-01-02 21:00,0,0,0,-15.381
2025-01-02 22:00,0,0,0,-15.395
2025-01-02 23:00,0.009,0.019,0.006,-15.309
2025-01-03 00:00,0.312,0.265,0.052,-13.127
2025-01-03 01:00,0.552,0.496,0.076,-10.329
2025-01-03 02:00,0.693,0.655,0.089,-7.516
2025-01-03 03:00,0.761,0.745,0.094,-5.312
2025-01-03 04:00,0.756,0.744,0.095,-4.026
2025-01-03 05:00,0.685,0.661,0.090,-3.293
2025-01-03 06:00,0.542,0.502,0.079,-3.091
2025-01-03 07:00,0.308,0.268,0.057,-4.409
2025-01-03 08:00,0.030,0.040,0.009,-6.867
2025-01-03 09:00,0,0,0,-7.122
2025-01-03 10:00,0,0,0,-7.416
2025-01-03 11:00,0,0,0,-8.438
2025-01-03 12:00,0,0,0,-9.731
2025-01-03 13:00,0,0,0,-10.796
2025-01-03 14:00,0,0,0,-11.574
2025-01-03 15:00,0,0,0,-12.164
2025-01-03 16:00,0,0,0,-12.726
2025-01-03 17:00,0,0,0,-13.216
