RelativePath,AuditStatus,HardConstraintsPassed,MaxPowerResidualKW,MaxStorageResidualKG,MaxStorageLowerViolationKG,MaxStorageUpperViolationKG,MaxHBLowerViolation,MaxHBUpperViolation,MaxHBRampViolation,BuySellOverlapKWh,CO2MarginKG,TerminalBacklogKG,MaxBacklogKG
runs/manifest/stage0_quality_gate_report.mat,not_dispatch_result,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
runs/rolling/frozen/v51_contract_plan_and_hb_smoothing_2022_frozen.mat,not_dispatch_result,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
runs/rolling/v51_contract_plan_and_hb_smoothing_2022_latest.mat,audited,1,5.73891156818718e-10,1.18234311230481e-11,1.09139364212751e-11,3.63797880709171e-12,0,0,7.38298311375729e-15,0,363535.472316545,4.24915924668312e-09,1457974.65732877
runs/rolling/v51_economic_only_2022_latest.mat,audited,1,3.26053850585595e-10,1.31876731757075e-11,5.91171556152403e-12,0,0,2.22044604925031e-16,8.32667268468867e-16,0,5561620.6307271,1116668.72306532,2399992.55300805
runs/stage1/zhou_s2_baseline_2022_latest.mat,audited,1,2.89219315163791e-10,9.09494701772928e-13,1.00044417195022e-11,1.81898940354586e-12,6.66133814775094e-16,5.10702591327572e-15,7.63278329429795e-14,0,17450982.1136694,NaN,NaN
runs/stage3/v51_contract_candidate_070000p000t_2022_latest.mat,audited,1,1.14596332423389e-09,9.09494701772928e-13,9.09494701772928e-13,0,3.88578058618805e-16,1.99840144432528e-15,4.10227407598995e-14,0,13969788.6287672,1.16415321826935e-10,1342465.75342466
runs/stage3/v51_contract_candidate_073000p000t_2022_latest.mat,audited,1,3.85625753551722e-10,9.09494701772928e-13,1.36424205265939e-12,1.81898940354586e-12,3.27515792264421e-15,1.55431223447522e-15,7.21644966006352e-16,0,10031200.772077,1.16415321826935e-10,1400000
runs/stage3/v51_contract_candidate_076022p964t_2022_latest.mat,audited,1,1.10958353616297e-09,9.09494701772928e-13,1.31876731757075e-11,0,5.55111512312578e-17,6.66133814775094e-16,5.60662627435704e-15,0,4630806.21515645,5.82076609134674e-11,1457974.65732877
runs/stage3/v51_contract_closed_loop_2022_latest.mat,missing_dispatch,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
runs/stage4/h2_reserve_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l1_2022_latest.mat,not_dispatch_result,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
runs/stage4/h2_reserve_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l2_2022_latest.mat,not_dispatch_result,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
runs/stage4/h2_reserve_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l3_2022_latest.mat,not_dispatch_result,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
runs/stage4/h2_reserve_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l1_2022_latest.mat,not_dispatch_result,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
