RelativePath,Stage,Scheme,Candidate,DataYear,Status,ProtocolVersion,ProtocolSeal,ContractShortfallP95,MAR,H2SOCP05,LCOA,NH3AnnualT,CO2Intensity,NetProfitUSD,Exitflag,SolverGap,SHA256,ReadStatus
runs/archive/v52_negative_20260828/runs__rolling__v51_contract_plan_and_hb_smoothing_2025_latest.mat,,contract_plan_and_hb_smoothing,,2025,completed,5.1.37,000CDCA8,5396186.67216676,0.0654711529318814,0.0935244502009321,535.845946417733,74127.3890472506,0.902267654698599,1568094.75981906,1,0.000998928420571909,830077df928593697d3026d2ddbae031d155c289b5664befbe1ded69a58413b2,ok
runs/archive/v52_negative_20260828/runs__rolling__v51_economic_only_2025_latest.mat,,economic_only,,2025,requires_slack_diagnosis,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,da990a7996b1cc4638a78dd505c04102d3a6fc9a7f135522bbf2824b4a08e97b,ok
runs/archive/v52_negative_20260828/runs__stage1__zhou_s2_baseline_2025_latest.mat,stage1,,,2025,solved,,,NaN,0.0634751362764464,0,469.447788765131,75371.6705129829,0.0641567468322111,6598956.41787766,1,9.81912729694709e-05,e23e2a8bf9893245f26cf92af1d440c4a3c243697a0fdd220a394edb89b991fb,ok
runs/archive/v52_negative_20260828/runs__stage2__v52_selection_audit_2024_latest.mat,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4af8d396a41fd48dedc559b15e460628fccaa4aa335cf9cb15300448205a2186,ok
runs/archive/v52_negative_20260828/runs__stage5__joint_grid__v51_joint_grid_2024_latest.mat,stage5_parallel,contract_plan_and_hb_smoothing,,2024,completed,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1156efe4069a7b6d9b95adbcb925324e4e71c561c08b83bf7a3499e3104e57fd,ok
runs/manifest/stage0_quality_gate_report.mat,stage0_quality_gate_report.mat,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,fe3e74d7b665fb19148da478f0a5396df771894c4b9613e46c80b6e7dabad1ba,ok
runs/persistence_probe/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l3_soft_cp025_hb010_gate_2022_latest.mat,rolling,contract_plan_and_hb_smoothing,,2022,completed,5.1.37,000CDCA8,3748601.96821912,0.055445942222284,0.0271093395913617,537.201918479831,74695.4475336883,0.944493078406649,1478826.5594575,1,0.000999326388957934,9ad4b3c98fa023c363d9269ab3f8cc0a2c0c10dcd961246c0f68dfee2432537f,ok
runs/rolling/frozen/v51_contract_plan_and_hb_smoothing_2022_frozen.mat,rolling,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,c8bc46c2d75f04188ff4cc1a60781090a87eaa672eb2efaa320ed9b521b6cefc,ok
runs/rolling/v51_contract_plan_and_hb_smoothing_2022_latest.mat,rolling,contract_plan_and_hb_smoothing,,2022,completed,5.1.37,000CDCA8,1449359.11473155,0.0696585460271225,0,471.434837849672,77648.38021805,0.295318183440586,6643996.24406777,1,0.000999353328297907,41d97e2856be68e60bd8ea14f64c270f47a0e2bff84015279b36530b66056dfc,ok
runs/rolling/v51_contract_plan_and_hb_smoothing_2023_latest.mat,rolling,contract_plan_and_hb_smoothing,,2023,requires_slack_diagnosis,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6237ad62ce8d39064e8ef6f8df24030882b5263b3983ea119db63034cdabb058,ok
runs/rolling/v51_contract_plan_and_hb_smoothing_2024_latest.mat,rolling,contract_plan_and_hb_smoothing,,2024,completed,5.1.37,000CDCA8,4677190.08598279,0.0629751148308497,0.0935244502009321,546.971134602919,73802.1746522538,0.980494308641204,740152.075599343,1,0.000998352524179171,3cd6b2554657da482a73f2a55777e42ba5880d1aa8c0ea49e2b54dcf262ca153,ok
runs/rolling/v51_contract_plan_and_hb_smoothing_2025_latest.mat,rolling,contract_plan_and_hb_smoothing,,2025,completed,5.1.37,000CDCA8,5396186.67216676,0.0654711529318814,0.0935244502009321,535.845946417733,74127.3890472506,0.902267654698599,1568094.75981906,1,0.000998928420571909,830077df928593697d3026d2ddbae031d155c289b5664befbe1ded69a58413b2,ok
runs/rolling/v51_economic_only_2022_latest.mat,rolling,economic_only,,2022,completed,5.1.37,000CDCA8,2328722.84210511,0.0669013259907432,0,470.094092190684,76675.042094088,0.227465046267566,6663514.13950425,1,0.000999158170099481,6c4b3fc8d735c87f0520dd33e6f8b3e85ea295ac7010638056344a68810268af,ok
runs/rolling/v51_economic_only_2025_latest.mat,rolling,economic_only,,2025,requires_slack_diagnosis,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,da990a7996b1cc4638a78dd505c04102d3a6fc9a7f135522bbf2824b4a08e97b,ok
runs/stage1/zhou_s2_baseline_2022_latest.mat,stage1,,,2022,solved,,,NaN,0.0628097135914096,0,465.180268281595,76022.9642746094,0.0704511751129159,6980408.18413252,1,9.98809543630851e-05,e1b811801416d220752232b9ffbeb96315bbab4c275e464d1dc794080bf8c7ea,ok
runs/stage1/zhou_s2_baseline_2023_latest.mat,stage1,,,2023,solved,,,NaN,0.0602710798943203,0,463.888995136794,76232.5516072093,0.0658385615316906,7098089.48343346,1,8.96498189762877e-05,ff7e9b8758e5a498372205097bdcb63970facc6439e1f4bdf5be6b5c0923968e,ok
runs/stage1/zhou_s2_baseline_2024_latest.mat,stage1,,,2024,solved,,,NaN,0.0621818691989301,0,483.240134870308,74925.1625774308,0.0725514995620737,5526469.88653155,2,0.000186954219201736,149b64604d43119d770222a09fa18f53c3f0af1fac7dbb27c4dc2f6b7cf04141,ok
runs/stage1/zhou_s2_baseline_2025_latest.mat,stage1,,,2025,solved,,,NaN,0.0634751362764464,0,469.447788765131,75371.6705129829,0.0641567468322111,6598956.41787766,1,9.81912729694709e-05,e23e2a8bf9893245f26cf92af1d440c4a3c243697a0fdd220a394edb89b991fb,ok
runs/stage2/v52_selection_audit_2024_latest.mat,stage2,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4af8d396a41fd48dedc559b15e460628fccaa4aa335cf9cb15300448205a2186,ok
runs/stage3/v51_contract_candidate_070000p000t_2022_latest.mat,stage3,,,2022,feasible_economic_incomplete,5.1.3,98AB91E8,1130406.04525262,0.0659075760725748,0,466.223039982528,76617.377578703,0.117668144352538,6955092.62110549,2,0.000146965518524889,92a0a4ebf2090626e03954c98960a8b85ef444ed50fd49808e81050e2705a3b2,ok
runs/stage3/v51_contract_candidate_073000p000t_2022_latest.mat,stage3,,,2022,feasible_economic_optimum,5.1.3,98AB91E8,1203935.22311034,0.0681219696387175,0,467.426933510206,77285.9287938118,0.170206634912302,6922737.63857362,1,7.67995305810936e-05,22493364dfe5bdcb169524baba7fce73191e6ce08cd3935224941f460c332dfa,ok
runs/stage3/v51_contract_candidate_076022p964t_2022_latest.mat,stage3,,,2022,feasible_economic_optimum,5.1.3,98AB91E8,1128919.45738448,0.0699080225948438,0,469.052358681166,78194.8350180081,0.240778617742591,6877051.30314917,1,9.9839634878107e-05,1935f073a26fc13d5015843c94da149677144368fe997286d7886c5e71a4aea3,ok
runs/stage3/v51_contract_closed_loop_2022_latest.mat,stage3,,,2022,not_implemented,5.1.0,DDD87B18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65149ebba0380aaba91fb73bfa89e276285f8b0bd5a18051f858a2bc7e50e864,ok
runs/stage4/h2_reserve_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l1_2022_latest.mat,stage4,contract_plan_and_hb_smoothing,,2022,requires_slack_diagnosis,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8d07f33f42c8998aad757f5d31462f392e474057c0a429e34e80eb762d9fdde9,ok
runs/stage4/h2_reserve_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l2_2022_latest.mat,stage4,contract_plan_and_hb_smoothing,,2022,requires_slack_diagnosis,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5da895c145907323a870aa63b15a8d6e5002c148c7a9ffcd0e4a5fadc056c93a,ok
runs/stage4/h2_reserve_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l3_2022_latest.mat,stage4,contract_plan_and_hb_smoothing,,2022,requires_slack_diagnosis,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0a1c457888691a1a899d04b4e3c7c3dbc4cb2a8dd12904b5bcab2d6896dc77a7,ok
runs/stage4/h2_reserve_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l1_2022_latest.mat,stage4,contract_plan_and_hb_smoothing,,2022,requires_slack_diagnosis,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3a6848e466001655f1b3ce7f57da70e7b23902b4ee37138a3419de5c5a44ed4a,ok
runs/stage4/h2_reserve_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l2_2022_latest.mat,stage4,contract_plan_and_hb_smoothing,,2022,requires_slack_diagnosis,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,c19dc69f6f7217be720920513a205e3344f223a62dff83a594dbc54e63fe3d0e,ok
runs/stage4/h2_reserve_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l3_2022_latest.mat,stage4,contract_plan_and_hb_smoothing,,2022,completed,5.1.37,000CDCA8,1450425.39948291,0.0702019088074499,0.0935244502009321,471.885649503896,77591.7012331593,0.298296446354461,6604167.25434812,1,0.000992139778975449,b7e558e0ae4f2ca4e6c74526d32e0b4a26f41ca28da03d4ffc244f963779f97e,ok
runs/stage4/h2_reserve_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q090_l1_2022_latest.mat,stage4,contract_plan_and_hb_smoothing,,2022,requires_slack_diagnosis,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cead0bafc014096be9161f5143f703f98394cc6cf5f2d348c93a43e8e557d653,ok
runs/stage4/h2_reserve_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q090_l2_2022_latest.mat,stage4,contract_plan_and_hb_smoothing,,2022,requires_slack_diagnosis,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88890464ddaef50d932c3252ecc4f91be0f4483b2ea61db4ec10a39bed9e254a,ok
runs/stage4/h2_reserve_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q090_l3_2022_latest.mat,stage4,contract_plan_and_hb_smoothing,,2022,completed,5.1.37,000CDCA8,1454783.33456639,0.0713618937028584,0.0935244502009321,471.949502623749,77570.6716409547,0.298163817646001,6597424.20487301,1,0.000994040071054022,ff68840e04f92780b3ceae641a97aa0da314804a2a1bc492494cd641b2d191b9,ok
runs/stage4/h2_reserve_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q095_l1_2022_latest.mat,stage4,contract_plan_and_hb_smoothing,,2022,requires_slack_diagnosis,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7cdeb700b330de3ca8326ce3e549550b8abf19b454f62aff91ba5c7f48162c7b,ok
